사업자 등록번호,595-81-02960,상호,주식회사 뉴진사이언스(New Gene Science Inc.),대표자 명,김기환,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
총 합계금액,"76,125,654",총 공급가액,"69,205,144",총 세액,"6,920,510",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
매입 전자(수정) 세금계산서 목록조회,,,,,,,,,,,,,,,,,,,,,,,,대표 품목,,,,,,,,
작성일자,승인번호,발급일자,전송일자,공급자사업자등록번호,종사업장번호,상호,대표자명,주소,공급받는자사업자등록번호,종사업장번호,상호,대표자명,주소,합계금액,공급가액,세액,전자세금계산서분류,전자세금계산서종류,발급유형,비고,영수/청구 구분,공급자 이메일,공급받는자 이메일1,공급받는자 이메일2,품목일자,품목명,품목규격,품목수량,품목단가,품목공급가액,품목세액,품목비고
2026-06-16,20260616-10260703-87833690,2026-07-03,2026-07-03,149-86-03645,,주식회사 제닉스바이오,박승문,"전북특별자치도 전주시 덕진구 백제대로 567, 110호(금암동, 농업생명과학대학2호관)",595-81-02960,,주식회사 뉴진사이언스,김기환,"경기도 광명시 소하로 190, 비동 9층 21호(소하동, 광명G타워)","17,600,000","16,000,000","1,600,000",세금계산서,일반,인터넷발급,,청구,smpark@jbnu.ac.kr,newgenes@newgenesci.com,,2026-06-16,Deinoxanthin,5%,10,"300,000","3,000,000","300,000",
2026-06-15,20260615-41000096-40930213,2026-06-16,2026-06-17,503-81-97041,,주식회사 웰진,Park Jong Gu,"경상북도 경산시 남천면 남천로 693, 3층",595-81-02960,,주식회사 뉴진사이언스,김기환,"경기도 광명시 소하로 190, 비동 9층 21호 (소하동, 광명G타워)","35,970","32,700","3,270",세금계산서,일반,ASP발급,,청구,wg5038197041@bill36524.com,newgenes@newgenesci.com,,2026-06-15,"LS015-02, Trypsin-EDTA (10X) 0.5%",100ML,1,"26,700","26,700","2,670",
2026-06-15,20260615-41000096-40771053,2026-06-15,2026-06-16,101-81-65912,,(주)고려에이스과학,박건,서울특별시 종로구 돈화문로 4길 4 (장사동),595-81-02960,,주식회사 뉴진사이언스(New Gene Science Inc.),김기환,"경기도 광명시 소하로 190 비동 9층 21호 (소하동, 광명G타워)","127,160","115,600","11,560",세금계산서,일반,ASP발급,,영수,KOACE1@bill36524.com,bj.park@newgenesci.com,,2026-06-15,ⓗ Slide Folder,"20Slides, 192x295x11mm, Yellow",6,"13,400","80,400","8,040",
2026-06-15,20260615-41000061-l49edhbl,2026-06-16,2026-06-16,160-86-00927,,(주)다윈바이오텍,김용문,경기도 하남시 조정대로 150 (덕풍동) 아이테코 블루존 607호,595-81-02960,,주식회사 뉴진사이언스,김기환,"경기도 광명시 소하로 190, 비동 9층 21호","271,700","247,000","24,700",세금계산서,일반,ASP발급,,청구,admin@dawinbiotech.com,newgenes@newgenesci.com,,2026-06-15,♥[69504] DNeasy Blood & Tissue Kit (50),50/kit,1,"247,000","247,000","24,700",
2026-06-15,20260615-41000061-4t3jeid5,2026-06-16,2026-06-16,220-81-65848,,(주)이카운트,김신래,서울특별시 강동구 고덕비즈밸리로6길 84 (고덕동) 이카운트,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하동 190,광명G타워 B동 921호","44,000","40,000","4,000",세금계산서,일반,ASP발급,,청구,csmail@ecounterp.com,NEWGENES@NEWGENESCI.COM,,2026-06-15,2026년 06월 사용료,,0,0,"40,000","4,000",
2026-06-15,20260615-10260701-84977759,2026-07-01,2026-07-01,158-81-02757,,주식회사 이스텍바이오,박승문,"전북특별자치도 전주시 덕진구 백제대로 567, 108호(금암동, 전북대학교농생명과학대학2호관)",595-81-02960,,주식회사 뉴진사이언스,김기환,"경기도 광명시 소하로 190, 비동 9층 21호(소하동, 광명G타워)","16,500,000","15,000,000","1,500,000",세금계산서,일반,인터넷발급,,청구,smpark@jbnu.ac.kr,newgenes@newgenesci.com,,2026-06-15,Human EGF,mg,30,"500,000","15,000,000","1,500,000",
2026-06-12,20260612-10260612-69980352,2026-06-12,2026-06-12,204-16-78019,,아벨바이오,최일범,"서울특별시 중랑구 면목로 205, 2층(면목동)",595-81-02960,,뉴진사이언스,김기환,"경기도 광명시 소하로 190, 비동 9층 21호(소하 동,광명G타워)","63,800","58,000","5,800",세금계산서,일반,인터넷발급,,청구,abelbio2012@gmail.com,newgenes@newgenesci.com,,2026-06-12,20100(BX); RT; Cell ...외,,,,"58,000","5,800",
2026-06-11,20260611-41000009-a00001s1,2026-06-12,2026-06-13,160-86-00927,,(주)다윈바이오텍,김용문,"경기도 하남시 조정대로 150 (덕풍동, 아이테코) 607호",595-81-02960,,주식회사 뉴진사이언스,김기환,경기도 광명시 소하로 190 (소하동) 비동 9층 21호(광명G타워),"4,103,193","3,730,175","373,018",세금계산서,일반,ASP발급,,청구,sj.yoo@dawinbiotech.com,jason.kim@newgenesci.com,,2026-06-11,[S2GPU05RE] Stericup Quick Release-GP Sterile Vacuum Filtration System 외,,,,"3,730,175","373,018",
2026-06-11,20260611-10260614-70408556,2026-06-14,2026-06-14,489-57-00532,,비에스테크광명,이재호 외 1 명,"경기도 광명시 소하로 190, B동 920,921호(소하동, 광명G타워)",595-81-02960,,주식회사 뉴진사이언스,김기환,"경기도 광명시 소하로 190(소하동, 광명G타워)비동9층21호","1,100,000","1,000,000","100,000",세금계산서,일반,인터넷발급,,청구,gateman4@daum.net,newgenes@newgenesci.com,,2026-06-11,사무실임대료,,,,"1,000,000","100,000",
2026-06-10,20260610-41000007-17847528,2026-06-10,2026-06-11,819-51-00013,,조이바이오,조광호,"대전광역시 유성구 죽동 733-3, 101호",595-81-02960,,뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명 G타워 B동 921호 (소하동)","11,467,500","10,425,000","1,042,500",세금계산서,일반,ASP발급,,청구,joybio7@daum.net,newgenes@newgenesci.com,,,중앙실험대 외,EA,1,"10,425,000","10,425,000","1,042,500",
2026-06-09,20260609-41000061-ilqu6i8l,2026-06-10,2026-06-10,130-54-00226,,엔테크(N-Tech),김성남,"경기 수원시 권선구 서둔로222번길 9
101호",595-81-02960,,주식회사뉴진사이언스,김기환,,"188,100","171,000","17,100",세금계산서,일반,ASP발급,,청구,ntech.77@hanmail.net,stella.yang@newgenesci.com,,2026-06-09,"CyroBanker-Cell Freezing Medium, 100ml",,1,"171,000","171,000","17,100",
2026-06-09,20260609-41000061-13jplmm2,2026-06-09,2026-06-09,763-81-00487,,(주)엘피에스솔루션,김천기,대전광역시 대덕구 덕암로148번길29 (상서동),595-81-02960,,주식회사 뉴진사이언스(New Gene Science Inc.),김기환,경기도 광명시 소하로 190 (소하동) 비동 9층 21호(광명G타워),"792,000","720,000","72,000",세금계산서,일반,ASP발급,,청구,lpss56789@naver.com,newgenes@newgenesci.com,,2026-06-09,"EXCELL LS Refill Tip, 1250ul, Nature, Sterile (10PK/CS)",768 Tips/Pack (LPS),30,"24,000","720,000","72,000",
2026-06-09,20260609-41000008-fby81yrs,2026-06-09,2026-06-10,130-81-49813,,청호나이스(주),지기원,충북 진천군 이월면 진광로 486,595-81-02960,,(주)뉴진사이언스,김기환,"경기 광명시 소하로 190 B동 9층 21호 (소하동, 광명G타워)","45,900","41,727","4,173",세금계산서,일반,ASP발급,국민은행 804010484951 /  당월 내 미납시 가산금이 부과됩니다. 계약:13-0230049-24-00282,청구,10258006@chungho.co.kr,newgenes@newgenesci.com,,2026-06-09,렌탈료,,1,0,"41,727","4,173",
2026-06-09,20260609-10260609-64900863,2026-06-09,2026-06-09,202-87-01983,,"이뮤노디자이너스 주식회사(IMMUNODESIGNERS Co., Ltd.)",오성수,"서울특별시 강남구 테헤란로 322, 서관동 14층 1418,1419호(역삼동, 한신인터밸리24빌딩)",595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하로 190(소하동, 광명G타워), 비동 9층 21호","1,650,000","1,500,000","150,000",세금계산서,일반,인터넷발급,,청구,hjkim@immunodesigners.com,newgenes@newgenesci.com,stella.yang@newgenesci.com,2026-06-09,"Forma™ Series 3 Water Jacketed CO2 Incubator, 184L",,1,"1,500,000","1,500,000","150,000",
2026-06-06,20260606-50000002-j9850142,2026-06-25,2026-06-26,102-81-42945,,주식회사 케이티,박윤영,경기도 성남시 분당구 불정로 90,595-81-02960,,주식회사뉴진사이언스,김기환,"경기 광명시 소하로 190 B동 921호 (소하동, 광명G타워)","43,067","39,152","3,915",세금계산서,일반,겸용서식발급,"84 KOS, 명세서번호(청구계약ID) : 76037059276, 매출기관(사업장) : P555221",청구,,,,,인터넷 베이직 (z!68194598000),,1,"39,152","39,152","3,915",
2026-06-05,20260605-41000007-17773228,2026-06-05,2026-06-06,641-86-00839,,주식회사 엑소젠,조광호,"대전광역시 유성구 죽동로242번길 8-17,1층 102호",595-81-02960,,뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명 G타워 B동 921호 (소하동)","872,784","793,440","79,344",세금계산서,일반,ASP발급,,청구,xogenebio@xogenebio.com,newgenes@newgenesci.com,,,Clonal Genes (300＜X≤1800) - Total 3ea,bp,"3,534",160,"565,440","56,544",
2026-06-05,20260605-41000007-17773211,2026-06-05,2026-06-06,641-86-00839,,주식회사 엑소젠,조광호,"대전광역시 유성구 죽동로242번길 8-17,1층 102호",595-81-02960,,뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명 G타워 B동 921호 (소하동)","1,518,880","1,380,800","138,080",세금계산서,일반,ASP발급,,청구,xogenebio@xogenebio.com,newgenes@newgenesci.com,,,Clonal Genes (300＜X≤1800) - Total 5ea,bp,"6,255",160,"1,000,800","100,080",Q-664122
